genotipo,clorofila,carotenoide,flavonoide_amarelo,polifenois
P1R1,"2,000","129,252","74,464",282396
P1R2,"1,987","128,994","78,41",278393
P1R3,"1,918","130,744","110,603",245367
P2R1,"5,987","74,108","114,067",291236
P2R2,"6,138","73,728","121,887",293569
P2R3,"5,865","76,297","88,24",255588
P3R1,"2,351","41,356","114,306",288863
P3R2,"2,322","39,935","87,857",271033
P3R3,"2,418","41,868","101,117",294997
P4R1,"15,180","141,28","252,011",146595
P4R2,"15,496","145,337","140,021",156151
P4R3,"15,603","140,443","180,709",143357
P5R1,"3,074","456,64","202,259",276524
P5R2,"2,987","429,577","233,039",281296
P5R3,"3,006","449,986","249,977",279649
P6R1,"8,430","417,835","277,483",750233
P6R2,"8,276","407,241","216,735",608050
P6R3,"8,475","420,663","231,927",642022
